,Scientific name,Common name,TypeLocality
318,"Kitchener, Stoddart, and Henry
1984 Rec. W. Aust. Mus.",Gray-bellied Dunnart,"Western Australia, Bindoon, 31°18'S, 116°01'E."
319,"Thomas
1898 Nov. Zool.",Hairy-footed Dunnart,"Australia, Northern Territory, Charlotte Waters."
320,"Gray
1842 Ann. Mag. Nat. Hist., [ser. 1]",White-footed Dunnart,"Australia, Tasmania."
321,"Spencer
1909 Proc. R. Soc. Victoria, n.s.",Long-tailed Dunnart,"Australia, Western Australia."
322,"Gould
1845 Proc. Zool. Soc. Lond.",Stripe-faced Dunnart,"Australia, Queensland, Darling Downs."
323,"Waterhouse
1837 Proc. Zool. Soc. Lond.",Slender-tailed Dunnart,"Australia, New South Wales, N of Hunter River."
324,"Troughton
1964 Proc. Linn. Soc. N.S.W.",,"Australia, South Australia, Ooldea."
325,"Spencer
1895 Proc. R. Soc. Victoria, n.s.",Sandhill Dunnart,"Australia, Northern Territory, Lake Amadeus."
326,"de Tarragon
1847 Rev. Zool. Paris",Red-cheeked Dunnart,"None given; Archer (1981:132) designated Australia, Queensland, Herbert Vale."
327,"de Tarragon
1847 Rev. Zool. Paris",,"None given; Archer (1981:132) designated Australia, Queensland, Herbert Vale."
328,"Collett
1897 ",,
329,"Thomas
1922 ",,
330,"McKenzie and Archer
1982 Austr. Mamm.",Lesser Hairy-footed Dunnart,"Western Australia, Edgar Ranges, 18°50'S, 123°05'E."
331,"Archer
1982 Carnivorous Marsupials",,
332,"Troughton
1928 Rec. Aust. Mus.",,
333,"Aitken
1972 Rec. S. Aust. Mus.",Paucident Planigale,"Australia, South Australia, Ann Creek Station (No. 3 bore) (28°18'S, 136°29'40""E)."
334,"Thomas
1906 Abstr. Proc. Zool. Soc. Lond.",Long-tailed Planigale,"Australia, Northern Territory, Alexandria."
335,"Thomas
1906 Abstr. Proc. Zool. Soc. Lond.",,"Australia, Northern Territory, Alexandria."
336,"Troughton
1928 ",,
337,"Lönnberg
1913 ",,
338,"Gould
1851 Mamm. Aust.",Pygmy Planigale,"Australia, New South Wales, Clarence River."
339,"Gould
1851 Mamm. Aust.",,"Australia, New South Wales, Clarence River."
340,"Thomas
1926 ",,
341,"Tate and Archbold
1941 Am. Mus. Novit.",New Guinean Planigale,"Papua New Guinea, Central Prov., Rona Falls, Laloki River (vicinity of Port Moresby), 250 m.Lowlands of S New Guinea."
342,"Troughton
1928 Rec. Aust. Mus.",Narrow-nosed Planigale,"Australia, ""collected at Bourke or Wilcannia, New South Wales""."
343,"Ameghino
1889 ",,
344,"Bensley
1903 Trans. Linn. Soc. Lond. (Zool.), ser.2",,
345,"Reid
1836 Proc. Zool. Soc. Lond.",,
346,"Reid
1836 Proc. Zool. Soc. Lond.",,"Australia, Western Australia, Swan River."
347,"Thomas
1887 Ann. Mag. Nat. Hist., ser. 5",,"Undesignated; as the specimen was sent by the South Australian Museum's taxidermist to London, Thomas (1887<i>a</i>) thought it might have originated near Adelaide or in the northern part of South Australia, whence others in the same collection had come."
348,"Gill
1872 Smithson. Misc. Collect.",,
349,"Ogilby
1838 Proc. Zool. Soc. Lond.",,
350,"Ogilby
1838 Proc. Zool. Soc. Lond.",Pig-footed Bandicoot,"Australia, New South Wales, banks of Murray River, south of the junction with Murrumbridge River."
351,"Gray
1825 Ann. Philos., n.s.",,
352,"Gray
1825 Ann. Philos., n.s.",,
353,"Desmarest
1817 Nouv. Dict. Hist. Nat., Nouv. ed.",,
354,"Ramsay
1887 Proc. Linn. Soc. N.S.W., ser. 2",Golden Bandicoot,"Australia, Western Australia, Derby."
355,"Ramsay
1887 Proc. Linn. Soc. N.S.W., ser. 2",,"Australia, Western Australia, Derby."
356,"Lyne and Mort
1981 ",,
357,"Thomas
1901 ",,
358,"Gould
1842 Proc. Zool. Soc. Lond.",Northern Brown Bandicoot,"Australia, Northern Territory, Port Essington."
359,"Gould
1842 Proc. Zool. Soc. Lond.",,"Australia, Northern Territory, Port Essington."
360,"Ramsay
1877 ",,
361,"Shaw
1797 Nat. Misc.",Southern Brown Bandicoot,"Australia, New South Wales, Sydney, Ku-ring-gai Chase Natl. Park, 33°36'S, 151°16'E, see Dixon (1981)."
362,"Shaw
1797 Nat. Misc.",,"Australia, New South Wales, Sydney, Ku-ring-gai Chase Natl. Park, 33°36'S, 151°16'E, see Dixon (1981)."
363,"Thomas
1922 ",,
364,"É. Geoﬀroy
1804 Ann. Mus. Hist. Nat. Paris",,
365,"Quoy and Gaimard
1824 <i>In</i> de Freycinet, Voy. autour du monde...l'Uranie et al Physicienne, Zool.",Western Barred Bandicoot,"Australia, Western Australia, Shark Bay, Peron Peninsula."
366,"Spencer
1897 Proc. R. Soc. Victoria, n.s.",Desert Bandicoot,"Australia, Northern Territory, Burt Plain (N of Alice Springs)."
367,"Gray
1838 Ann. Nat. Hist.",Eastern Barred Bandicoot,"Australia, Tasmania."
368,"É. Geoﬀroy
1804 Ann. Mus. Hist. Nat. Paris",Long-nosed Bandicoot,"Australia, New South Wales, Sydney."
369,"Groves and Flannery
1990 <i>In</i> Seebeck et al. (eds.), Bandicoots and Bilbies",,
370,"Thomas
1906 Proc. Zool. Soc. Lond.",,
371,"Ramsay
1879 Proc. Linn. Soc. N.S.W.",Giant Bandicoot,"Papua New Guinea, Central Prov., banks of Goldie River (a tributary of the Laloki River) inland from Port Moresby."
372,"Milne-Edwards
1878 Ann. Sci. Nat. (Paris)",Raﬀray’s Bandicoot,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Amberbaki."
373,"Milne-Edwards
1878 Ann. Sci. Nat. (Paris)",,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Amberbaki."
374,"Förster
1913 ",,
375,"McKenna and Bell
1997 Class. Mamm. Above Species Level",,
376,"Lesson
1842 Nouv. Tabl. Regn. Anim. Mammifčres",,
377,"Stein
1932 Z. Säugetierk.",Clara’s Echymipera,"Indonesia, Prov. of Papua (= Irian Jaya), Tjenderawasih Div., Japen (=Yapen) Isl."
378,"Flannery
1990 <i>In</i> Seebeck et al. (eds.), Bandicoots and Bilbies",David’s Echymipera,"Papua New Guinea, Trobriand Isls, Kiriwina Isl (08°30'S, 151°00'E)."
379,"Menzies
1990 Science in New Guinea",Menzies’ Echymipera,"Papua New Guinea, Western (Fly River) Province, Wipim, near Iamega (08°51'S, 142°58'E).Known only from Western (Fly River) Province, Papua New Guinea."
380,"Fischer
1829 Synopsis Mammal.",Common Echymipera,"Indonesia, Prov. of Papua (= Irian Jaya), Sorong Div., Waigeo Isl."
381,"Fischer
1829 Synopsis Mammal.",,"Indonesia, Prov. of Papua (= Irian Jaya), Sorong Div., Waigeo Isl."
382,"Ramsay
1877 ",,
383,"Tate and Archbold
1936 ",,
384,"Troughton
1954 ",,
385,"Peters and Doria
1875 Ann. Mus. Civ. Stor. Nat. Genova",Long-nosed Echymipera,"Indonesia, Kai Isls."
386,YES 1875,,"Indonesia, Kai Isls."
387,YES 1948,,
388,YES 1932,,
389,YES 1876,Striped Bandicoot,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Hatam, 1520 m."
390,YES 1876,,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Hatam, 1520 m."
391,YES 1922,,
392,YES 1904,,
393,YES 1932,Mouse Bandicoot,"Indonesia, Prov. of Papua (= Irian Jaya), Paniai Div., Weyland Mtns, Sumuri Mtn, 2500 m. W interior New Guinea., Vogelkop and Weyland Range, around 2000 m."
394,YES 1952,Papuan Bandicoot,"Papua New Guinea, Milne Bay Prov., Mt. Mura, (30 mi [48 km] NW Mt. Simpson), Boneno, 1220-1525 m."
395,YES 1920,,
396,YES 1920,Seram Bandicoot,"Indonesia, Ceram (= Seram) Isl, Mt. Manusela, 1800 m."
397,YES 1866,,
398,YES 1830,,
399,YES 1839,,
400,YES 1816,,
401,YES 1817,,"Australia, New South Wales."
402,YES 1829,,
403,YES 1863,,
404,YES 1873,Northern Hairy-nosed Wombat,"Australia, New South Wales, Wellington Caves, Breccia Cavern."
405,YES 1873,,"Australia, New South Wales, Wellington Caves, Breccia Cavern."
406,YES 1900,,
407,YES 1939,,
408,YES 1845,Southern Hairy-nosed Wombat,"Australia, South Australia."
409,YES 1803,,
410,YES 1800,Common Wombat,"Australia, Tasmania, Bass Strait, Cape Barren Isl."
411,YES 1982,,
412,YES 1888,,
413,YES 1898,,
414,YES 1896,,
415,YES 1896,Mountain Pygmy Possum,"Australia, New South Wales, Taralga (fossil)."
416,YES 1841,,
417,YES 1877,Long-tailed Pygmy Possum,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns."
418,YES 1877,,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns."
419,YES 1916,,
420,YES 1845,Southwestern Pygmy Possum,"Australia, Western Australia, Swan River."
421,YES 1845,,"Australia, Western Australia, Swan River."
422,YES 1963,,
423,YES 1888,Tasmanian Pygmy Possum,"Australia, Tasmania."
424,YES 1818,Eastern Pygmy Possum,"Australia, Tasmania, Ile Maria."
425,YES 1818,,"Australia, Tasmania, Ile Maria."
426,YES 1863,,
427,YES 1888,,
428,YES 1987,,
429,YES 1830,,
430,YES 1898,Talaud Bear Cuscus,"Indonesia, Talaud Isls, Salebabu Isl, Lirung."
431,YES 1824,Sulawesi Bear Cuscus,"Indonesia, Sulawesi, Sulawesi Utara, Minahasa, Manado."
432,YES 1824,,"Indonesia, Sulawesi, Sulawesi Utara, Minahasa, Manado."
433,YES 1977,,
434,YES 1922,,
435,YES 1945,,
436,YES 1888,,
437,YES 1888,,
438,YES 1780,,
439,YES 1995,,"Indonesia, North Moluccas, Gebe Isl, near the airport (0°05’S, 129°25’E)."
440,YES 1898,Mountain Cuscus,"Papua New Guinea, Central Prov., upper Vanapa River."
441,YES 1898,,"Papua New Guinea, Central Prov., upper Vanapa River."
442,YES 1922,,
443,YES 1875,,"Indonesia, Aru Isls, Gialnhegen Isl (restricted by Van der Feen, 1962:40)."
444,YES 1875,,"Indonesia, Aru Isls, Gialnhegen Isl (restricted by Van der Feen, 1962:40)."
445,YES 1898,,
446,YES 1895,Eastern Common Cuscus,"Papua New Guinea, D’Entrecasteaux group, Fergusson Isl."
447,YES 1896,Woodlark Cuscus,"Papua New Guinea, Milne Bay Prov., Woodlark Isl."
448,YES 1995,Blue-eyed Cuscus,"Indonesia, North Moluccas, Ternate, Tege Tege (0°50’N, 127°20’E), 400 m."
449,YES 1987,Telefomin Cuscus,"Papua New Guinea, West Sepik Prov., Telefomin area, Upper Sol River, 5°06'S, 141°42'E, 2600 m."
450,YES 1922,Southern Common Cuscus,"Indonesia, Prov. of Papua (= Irian Jaya), Mimika River, Parimau, 4°31’S, 136°36’E, 250 ft (76 m)."
451,YES 1922,,"Indonesia, Prov. of Papua (= Irian Jaya), Mimika River, Parimau, 4°31’S, 136°36’E, 250 ft (76 m)."
452,YES 1945,,
453,YES 1766,Northern Common Cuscus,"Indonesia, Amboina (= Ambon) Isl, Maluku."
454,YES 1766,,"Indonesia, Amboina (= Ambon) Isl, Maluku."
455,YES 1888,,
456,YES 1860,,Indonesia: Bachian (= Bacan or Batjan) Isl.
457,YES 1898,Rothschild’s Cuscus,"Moluccas, Pulau Obi, Loiwuj."
458,YES 1907,,"Papua New Guinea, Angabunga Range, Owgarra, 6,000 ft (= 1829 m)."
459,YES 1907,,"Papua New Guinea, Angabunga Range, Owgarra, 6,000 ft (= 1829 m)."
460,YES 1986,,
461,YES 1877,,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Sorong Div., Tamrau Range, Karons Mtns."
462,YES 1861,,
463,YES 1910,Admiralty Island Cuscus,"Papua New Guinea, Admiralty Isls, Manus Isl."
464,YES 1803,Common Spotted Cuscus,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Manokwari."
465,YES 1803,,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Manokwari."
466,YES 1824,,
467,YES 1876,,
468,YES 1850,,
469,YES 1822,Waigeou Cuscus,"Indonesia, Prov. of Papua (= Irian Jaya), Waigeou Isl."
470,YES 1937,Black-spotted Cuscus,"Papua New Guinea, Morobe Prov., Sattelberg."
471,YES 1911,,
472,YES 1861,,
473,YES 1858,Sulawesi Dwarf Cuscus,"Indonesia, Sulawesi, Sulawesi Selatan, Ujung Pandang (= Macassar)."
474,YES 1858,,"Indonesia, Sulawesi, Sulawesi Selatan, Ujung Pandang (= Macassar)."
475,YES 1987,,
476,YES 1896,,
477,YES 1945,Banggai Cuscus,Indonesia: Peleng Isl.
478,YES 1945,,Indonesia: Peleng Isl.
479,YES 1978,,
480,YES 1828,,
481,YES 1897,Northern Brushtail,"Australia, Northern Territory, Daly River."
482,YES 1835,Short-eared Possum,"Australia, New South Wales, Hunter River."
483,YES ,Mountain Brushtail Possum,"Australia, C Victoria, Cambarville region."
484,YES 1888,Coppery Brushtail,"Australia, Queensland, Atherton Tableland."
485,YES 1792,Common Brushtail,"Australia, New South Wales, Sydney."
486,YES 1918,,
487,YES 1918,Scaly-tailed Possum,"Australia, Western Australia, Wyndham."
488,YES 1838,,
489,YES 1893,,
490,YES 1997,,
491,YES 1884,,
492,YES 1884,Lemur-like Ringtail,"Australia, North Queensland."
493,YES 1888,,
494,YES 1792,,"Australia, New South Wales, Sydney."
495,YES 1792,,"Australia, New South Wales, Sydney."
496,YES 1887,,
497,YES 1893,,
498,YES 1923,,
499,YES 1895,Rock-haunting ringtail,"Australia, Northern Territory, Mary River."
500,YES 1837,,
501,YES 1785,Common Ringtail,"Australia, Queensland, Endeavour River."
502,YES 1785,,"Australia, Queensland, Endeavour River."
503,YES 1888,,
504,YES 1915,,
505,YES 1821,,
506,YES 1915,,
507,YES 1846,Lowland Ringtail,"Indonesia, Prov. of Papua (= Irian Jaya), Fakfak Div., Triton Bay."
508,YES 1846,,"Indonesia, Prov. of Papua (= Irian Jaya), Fakfak Div., Triton Bay."
509,YES 1906,,
510,YES 1866,,
511,YES 1922,,
512,YES 1904,,
513,YES 1921,Weyland Ringtail,"Indonesia, Prov. of Papua (= Irian Jaya), Paniai Div., Weyland Range, Menoo Valley, Mt. Kunupi, 1830 m."
514,YES 1921,,"Indonesia, Prov. of Papua (= Irian Jaya), Paniai Div., Weyland Range, Menoo Valley, Mt. Kunupi, 1830 m."
515,FALSE Thomas,,
516,FALSE Tate,Cinereous Ringtail,"Australia, Queensland, Mt. Spurgeon."
517,FALSE Thomas,,"Papua New Guinea, Central Prov., Astrolabe Range, near Port Moresby, Sogeri, 458 m."
518,FALSE Collett,Herbert River Ringtail,"Australia, Queensland, Herbert Vale."
519,FALSE Förster and Rothschild,Masked Ringtail,"Papua New Guinea, Huon Peninsula, Rawlinson Mtns."
520,FALSE Rothschild and Dollman,,"Indonesia, Prov. of Papua (= Irian Jaya), Paniai Div., Weyland Range, Gebroeders Mtns, 1830 m."
521,FALSE Jentink,Vogelkop Ringtail,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns."
522,"FALSE Kirsch, Lapointe and Springer",,
523,FALSE Matschie,,
524,FALSE Peters,D’Albertis’ Ringtail,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Hatam, 1520 m."
525,FALSE Peters,,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Arfak Mtns, Hatam, 1520 m."
526,FALSE Stein,,
527,FALSE Matschie,,
528,FALSE Collett,,"Australia, N Queensland, Herbert River District."
529,FALSE Thomas,Plush-coated Ringtail,"Papua New Guinea, Central Prov., upper Vanapa River."
530,FALSE Thomas,,"Papua New Guinea, Central Prov., upper Vanapa River."
531,FALSE Förster,,
532,FALSE Laurie,,
533,FALSE Thomas,Reclusive Ringtail,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Arfak Mtns, 2000 m."
534,FALSE Thomas,Coppery Ringtail,"Papua New Guinea, Owen Stanley Range."
535,FALSE Bonaparte,,
536,FALSE Gray,,
537,FALSE Rothschild and Dollman,Great-tailed Triok,"Indonesia, Prov. of Papua (= Irian Jaya), Paniai Div., Weyland Range, Gebroeders Mtns."
538,FALSE Milne-Edwards,Long-ﬁngered Triok,"""South coast of New Guinea""."
539,FALSE Laurie,,"Papua New Guinea, Milne Bay Prov., Fergusson Isl, Faralulu Dist., mountains above Taibutu Village, 610-915 m."
540,FALSE Gray,,"Indonesia, Aru Isls."
541,FALSE Gray,,"Indonesia, Aru Isls."
542,FALSE Matschie,,
543,FALSE Thomas,,
544,FALSE Thomas,,
545,FALSE McCoy,,
546,FALSE McCoy,Leadebeater’s Possum,"Australia, Victoria, Bass River."
547,FALSE Shaw,,
548,FALSE Ziegler,,"Papua New Guinea, West Sepik Prov., Mt. Somoro, 3°25'S, 142°05'E."
549,FALSE Shaw,Yellow-bellied Glider,"Australia, New South Wales, Sydney."
550,FALSE Shaw,,"Australia, New South Wales, Sydney."
551,FALSE Thomas,,
552,FALSE Ulmer,,"Indonesia, Prov. of Papua (= Irian Jaya), Biak Isl, Korrido."
553,FALSE Waterhouse,,"Australia, New South Wales."
554,FALSE Waterhouse,,"Australia, New South Wales."
555,FALSE Gould,,
556,FALSE Longman,,
557,FALSE Thomas,,
558,FALSE de Vis,,"Australia, Queensland, Cardwell region."
559,FALSE Kerr,,"Australia, New South Wales, Sydney."
560,FALSE Gervais and Verreaux,,
561,FALSE Gervais and Verreaux,,
562,FALSE Gervais and Verreaux,,"Australia, Western Australia, King George Sound (Albany), see Gray (1842)."
563,FALSE Aplin,,
564,FALSE Desmarest,,
565,FALSE Shaw,Feather-tailed Glider,"Australia, New South Wales, Sydney."
566,FALSE Peters,,
567,FALSE Peters,Feather-tailed Possum,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., ""Andai"" (Probably = Arfak Mtns, Hatam, 1520 m). See Van der Feen (1962:52)."
568,FALSE Ameghino,,
569,FALSE Collett,,
570,FALSE Ramsay,,
571,FALSE Ramsay,Musky Rat-kangaroo,"Australia, Queensland, Rockingham Bay."
572,FALSE Gray,,
573,FALSE Garrod,,
574,FALSE Gray,Rufous Rat-kangaroo,"Australia, New South Wales."
575,FALSE Gray,,
576,FALSE Desmarest,Eastern Bettong,"Australia, New South Wales, Port Jackson."
577,FALSE Quoy and Gaimard,,"Australia, Western Australia, Dirk Hartog Isl (Shark Bay)."
578,FALSE Gray,,"Australia, New South Wales."
579,FALSE Wakeﬁeld,Northern Bettong,"Australia, Queensland, Mt. Spurgeon."
580,FALSE Thomas,,
581,FALSE Gould,Desert Rat-kangaroo,"Australia, South Australia."
582,FALSE Desmarest,,
583,FALSE Gould,Gilbert’s Potoroo,"Australia, Western Australia, King George Sound."
584,FALSE Seebeck and Johnston,Long-footed Potoroo,"Australia, Victoria, Bellbird Creek, 32 km E Orbost."
585,FALSE Gould,Broad-faced Potoroo,"Australia, Western Australia, Swan River, L. Walyormouring."
586,FALSE Kerr,Long-nosed Potoroo,"Australia, New South Wales, Sydney."
587,FALSE Kerr,,"Australia, New South Wales, Sydney."
588,FALSE Gould,,
589,FALSE Gray,,
590,FALSE Glauert,,
591,FALSE Thomas,,
592,FALSE Peron and Lesueur,Banded Hare-wallaby,"Australia, Western Australia, Bernier Isl (Shark Bay)."
593,FALSE Peron and Lesueur,,"Australia, Western Australia, Bernier Isl (Shark Bay)."
594,FALSE Helgen and Flannery,,
595,FALSE Gray,,
596,FALSE Müller,,
597,FALSE De Vis,Bennett’s Tree-kangaroo,"Australia, Queensland, Daintree River."
598,FALSE Ramsay,Doria’s Tree-kangaroo,"Papua New Guinea, ""ranges behind Mt. Astrolabe."""
599,FALSE Ramsay,,"Papua New Guinea, ""ranges behind Mt. Astrolabe."""
600,FALSE Rothschild and Dollman,,
601,FALSE Matschie,,
602,FALSE Thomas,Goodfellow’s Tree-kangaroo,"Papua New Guinea, Owen Stanley Range, vic. Mt. Obree, 8000 ft. (2438 m)."
603,FALSE Thomas,,"Papua New Guinea, Owen Stanley Range, vic. Mt. Obree, 8000 ft. (2438 m)."
604,FALSE Matschie,,
605,FALSE Müller,Grizzled Tree-kangaroo,"Indonesia, Prov. of Papua (= Irian Jaya), Fakfak Div., Lobo Dist., near Triton Bay, Mt. Lamantsjieri."
606,FALSE Müller,,"Indonesia, Prov. of Papua (= Irian Jaya), Fakfak Div., Lobo Dist., near Triton Bay, Mt. Lamantsjieri."
607,FALSE Matschie,,
608,FALSE Collett,Lumholtz’s Tree-kangaroo,"Australia, Queensland, Herbert Vale."
609,FALSE Forster and Rothschild,Huon Tree-kangaroo,"Papua New Guinea, Morobe Prov., Rawlinson Mtns."
610,FALSE Flannery. Boeadi and Szalay,,"Indonesia, Prov. of Papua (= Irian Jaya), Tembagapura area, 3250-3500 m on the south slopes of Gunung (=Mt.) Ki (04°S05’S, 137°06’E)."
611,FALSE Flannery,Golden-mantled Tree-kangaroo,"Papua New Guinea, West Sepik Prov., near Sibilanga, Kukumbau area on Mt. Sapau, 1120 m (3°32'S, 142°31'E)."
612,FALSE Flannery and Seri,,"Papua New Guinea, West Sepik Prov., Torricelli Mtns, Sweipini, 1400 m (3°23'S, 142°06'E).Torricelli Mtns and Mt. Menawa, 900-2000 m (Papua New Guinea)."
613,FALSE Troughton and Le Souef,Lowlands Tree-kangaroo,"Papua New Guinea, Western Division, between Bamu, upper Awarra and Strickland Rivers.S New Guinea, Gulf of Papua east of Fly River, sea level to 800 m."
614,FALSE Flannery and Seri,Seri’s Tree-kangaroo,"Papua New Guinea, Western Prov., western end of Dokfuma basin, Star Mtns, 3000 m (5°01'S, 141°07'E)."
615,FALSE Temminck,Ursine Tree-kangaroo,"Indonesia, Prov. of Papua (= Irian Jaya), Fakfak Div., Lobo Dist., near Triton Bay, Mt. Lamantsjieri."
616,FALSE Schlegel and Müller,,
617,FALSE Van Deusen,Black Dorcopsis,"Papua New Guinea, Milne Bay Prov., Goodenough Isl, E slopes, near ""Top Camp"", about 1600 m."
618,FALSE Heller,White-striped Dorcopsis,"Papua New Guinea, Madang Prov., near Astrolabe Bay, Stefansort."
619,FALSE D'Albertis,,"""Southeast of New Guinea""."
620,FALSE D'Albertis,,"""Southeast of New Guinea""."
621,FALSE Groves and Flannery,,
622,FALSE Lesson,Brown Dorcopsis,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Dorei (= Manokwari), Lobo Bay."
623,FALSE Lesson,,"Indonesia, Prov. of Papua (= Irian Jaya), Vogelkop, Manokwari Div., Dorei (= Manokwari), Lobo Bay."
624,FALSE Jentink,,
625,FALSE Thomas,,
626,FALSE Groves and Flannery,,
627,FALSE Matschie,,
628,FALSE Miklouho-Maclay,Macleay’s Dorcopsis,"Papua New Guinea, Central Prov., ""inland from Port Moresby""."
629,FALSE Thomas,Small Dorcopsis,"Indonesia, Prov. of Papua (= Irian Jaya), Djajawidjaja Div., Doormanpad-bivak (3°30'S, 138°30'E), 1410 m."
630,FALSE Gould,,
631,FALSE Finlayson,Lake Mackay Hare-wallaby,"Australia, Northern Territory, between Mt. Farewell and Lake Mackay."
632,FALSE Gould,Spectacled Hare-wallaby,"Australia, Western Australia, Barrow Isl."
