,ID,Scientific name
521,11000253,Macropus Macropus
522,11000254,Macropus Macropus
523,11000255,Macropus Macropus
524,11000256,Macropus Macropus
525,11000257,Macropus Macropus
526,11000258,Macropus Macropus
527,11000259,Macropus Notamacropus
528,11000260,Macropus Notamacropus
529,11000261,Macropus Notamacropus
530,11000262,Macropus Notamacropus
531,11000263,Macropus Osphranter
532,11000264,Macropus Osphranter
533,11000265,Macropus Osphranter
534,11000266,Macropus Osphranter
535,11000267,Macropus Osphranter
536,11000268,Macropus Notamacropus
537,11000269,Macropus Notamacropus
538,11000270,Macropus Notamacropus
539,11000271,Macropus Notamacropus
540,11000272,Macropus Osphranter
541,11000273,Onychogalea 
542,11000274,Onychogalea 
543,11000275,Onychogalea 
544,11000276,Onychogalea 
545,11000277,Petrogale 
546,11000278,Petrogale 
547,11000279,Petrogale 
548,11000280,Petrogale 
549,11000281,Petrogale 
550,11000282,Petrogale 
551,11000283,Petrogale 
552,11000284,Petrogale 
553,11000285,Petrogale 
554,11000286,Petrogale 
555,11000287,Petrogale 
556,11000288,Petrogale 
557,11000289,Petrogale 
558,11000290,Petrogale 
559,11000291,Petrogale 
560,11000292,Petrogale 
561,11000293,Petrogale 
562,11000294,Petrogale 
563,11000295,Petrogale 
564,11000296,Petrogale 
565,11000297,Petrogale 
566,11000298,Petrogale 
567,11000299,Setonix 
568,11000300,Setonix 
569,11000301,Thylogale 
570,11000302,Thylogale 
571,11000303,Thylogale 
572,11000304,Thylogale 
573,11000305,Thylogale 
574,11000306,Thylogale 
575,11000307,Thylogale 
576,11000308,Thylogale 
577,11000309,Thylogale 
578,11000310,Thylogale 
579,11000311,Thylogale 
580,11000312,Thylogale 
581,11000313,Wallabia 
582,11000314,Wallabia 
583,11100001, 
584,11100002, 
585,11100003, 
586,11100004, 
587,11100005,Geogale 
588,11100006,Geogale 
589,11100007,Geogale 
590,11100008,Geogale 
591,11100009, 
592,11100010,Limnogale 
593,11100011,Limnogale 
594,11100012,Microgale 
595,11100013,Microgale 
596,11100014,Microgale 
597,11100015,Microgale 
598,11100016,Microgale 
599,11100017,Microgale 
600,11100018,Microgale 
601,11100019,Microgale 
602,11100020,Microgale 
603,11100021,Microgale 
604,11100022,Microgale 
605,11100023,Microgale 
606,11100024,Microgale 
607,11100025,Microgale 
608,11100026,Microgale 
609,11100027,Microgale 
610,11100028,Microgale 
611,11100029,Microgale 
612,11100030,Microgale 
613,11100031,Oryzorictes 
